Comentário;Sentimento
Não resolveu o problema ,invés de me dá a oportunidade de recuperar a conta acessando podendo atualizar o telefone para usar não me dá a opção, e como é por CPF também não consigo abrir outra;Negativo
"Meu problema ainda não foi resolvido 
Não entram em contato comigo, e não posso criar outra conta no apl";Negativo
Ainda não consegui acessar a minha conta pois está o telefone antigo sendo que na minha conta consta o número novo 479915?650;Negativo
Preciso resolver como trocar o número do celular antigo não estou conseguindo acessar minha conta o SMS está vindo no número antigo não estou conseguindo trocar estou com dóis anúncio não consigo responder as perguntas por favor me manda um link pra mim trocar o número do celular antigo;Negativo
Péssima você não tem suporte pra o usuário troquei o número do celular e não consigo receber SMS pra entrar na conta não tem como alterar;Negativo
Péssimo pois estou perdendo acesso a minha conta por não ter mais o número antigo;Negativo
"Meu problema não foi resolvido 
Não consigo acessar minha conta , uma vez que não tenho mais o telefone cadastrado na olx";Negativo
O N° do meu Cel está errado e não consigo entrar. Pede e mail, senha e é enviado um código por SMS que nunca chega por conta doN° errado e não tem uma opção de atualizar isso o correto é: 12 98709-7624;Negativo
Não tenho maismo numero de celular e por este motivo perdi minha conta do olx, mesmo confirmando por mail não foi o suficiente, isso é um absurdo, poderia ter feito a verificação facial ou por documentos , não me deram esta opção;Negativo
Descrevi um problema que está me impossibilitando de usar a plataforma e só me deram uma resposta óbvia, que está escrita no site e não resolve nada. Continuo com o mesmo problema.;Negativo
Eu só quero mudar o meu telefone de contato pois já estou com outro número, mas não consigo porque colocam dificuldade em mudar um número de telefone.;Negativo
Muitos dos anunciantes não respondem o chat de mensagens.;Negativo
Ate o momento não resolveram meu problema, não é hoje desativaram minha conta, reativei porém não consigo acessar as mensagem nem enviar mensagem para compras futuras. Equipe totalmente despreparada para solucionar os problemas. Espero que alguém da supervisão possa intervir, pois já estou a semanas sem acessar os recursos da plataforma.;Negativo
Não resolveu meu problema, só queria saber como q faço pra atualizar meu número de telefone pra tá recuperando minha conta;Negativo
Foi 6 por meia dúzia. Não me ajudou. Em nad;Negativo
Não tive meu problema resolvido até agora nem tão pouco retorno da parte de vocês.;Negativo
Não consigo entrar na minha conta porque mudei de telefone, e não existe nenhuma outra opção paraudar isso!;Negativo
Top;Positivo
Tenho o aplicativo a anos , mais agora está péssimo eu troquei o número do telefone e não consigo fazer a alteração no aplicativo , eu coloco o e-mail e a senha na hora de mandar o cód aparece o número do telefone antigo já fiz de tudo e não consigo .;Negativo
Pior ninguém me atendeu nunca me respondeu nada;Negativo
Recebi um atendimento péssimo,tô perdendo minha conta q tá logada no meu gmail por conta de um número antigo q não tenho a muito tempo,pra mim isso é errado,pois o meu gmail tá funcionando normalmente,resolvam isso,pois não consigo acessar a conta;Negativo
Meu problema não foi resolvido. Foi necessário abrir nova conta, pois perdi acesso a minha conta devido não ter mais acesso ao telefone cadastrado para receber SMS;Negativo
Péssimo atendimento, não resolveu meu problema para entrar no login da Olx;Negativo
Não resolveu meu problema, não consigo desativar, não consigo ativar o telefone;Negativo
ajustem a página de 'alterar senha' para aqueles que logam pelo google;Negativo
tudo certo;Positivo
Excelente;Positivo
Mto bom;Positivo
Ainda não consigo entrar no aplicativo;Negativo
Seria muito melhor conversar por áudio ( telefone ) ao invés de chat;Negativo
Claro!;Neutro
No momento não tenho nada em mente, tô com a cabeça cheia pra pensar.;Neutro
Péssimo nãoi resolve nada prace um rob^p;Negativo
"NUNCA PAGO PELA INTERNET COM CARTÃO DE CRÉDITO, E NEM POR PIX, PORQUE NUNCA TIVE E NUNCA TEREI PIX. 
HACKERS JÁ APLICARAM GOLPES COM CARTÕES DE CRÉDITO E PIX, E NÃO VOU AJUDAR CRIMINOSOS.
SÓ PAGO COM BOLETO BVANCÁRIO DIRETO NO CAIXA.
SE OLX NÃO TEM BOLETO PARA PAGAMENTOS, FICOU SEM EU ANUNCIAR 04 TERRENOS E UM FIAT STRADA À VENDA.";Negativo
Valeu;Positivo
Não consigo alterar o número do meu celular no cadastro. Já fiz de tudo e sempre vão enviar um código por MSN para um número que não é mais meu. Quero anunciar e não consigo. É muito estressante.;Negativo
Só me encaminhava para soluções que nem eram do meu problema. Horrendo.;Negativo
NAO TEM SUPORTE PARA ATENDIMENTO, NAO RESOLVERAM MEU PROBLEMA E DEIXAM PRA LA, A OPCAO E EXCLUIR A CONTA E ABRIR OUTRA, JA QUE NAO CONSEGUEM ALTERAR MEU NUMERO DE TELEFONA PARA RECEBER O CODIGO;Negativo
Nada a reclamar;Positivo
Excelente;Positivo
Bom dia! Preciso que libere minha minha conta, tenho ela faz muito tempo já. Achei injusto o que fizeram. Preciso que seja liberado novamente minha conta. Não sou nenhum bandido.;Negativo
Quero falar com um atendente! O problema não está solucionado;Negativo
Muito obrigado pelo esclarecimento;Positivo
Rápido e objetiva excelente canal!;Positivo
"Péssimo, o atendimento é com email automático, mal intencionado ou de má vontade. Parece que não existe a leitura sobre a necessidade de quem precisa de suporte.
Preciso alterar o número cadastrado na plataforma, não consigo acessar a conta para tal, eu já informei e enviei a solicitação, e a resposta é sempre a mesma e automática.";Negativo
Quero falar com o atendente;Negativo
Até agora não tive o retorno da reativação da minha conta;Negativo
Fui bloqueada do app, ok já sei que não posso vender gás, agora não informar o prazo dessa penalidade e ruim de mas, não vou poder nunca mais vender pela olx ?;Negativo
"Ninguém me atende.
Não consigo mudar o número de contato antigo no meu cadastro.";Negativo
Gostaria de parabenizar a atendente Carolina pela agilidade e educação no atendimento. Problema resolvido rápido e de forma eficiente.;Positivo
não teve atendimento, pois fui ao banheiro após ficar 15 minutos esperando, e o atendente não pode esperar 2 minutos. Bom pra caramba.;Negativo
No Aguardo;Neutro
Péssima, não sei o que está fazendo atendendo o público. Não se coloca no lugar do cliente que está com um problema e precisa de suporte. Um robô faria o trabalho desta atendente de forma mais eficaz e inteligente;Negativo
"Estou precisando de ajuda para vender com garantia e parcelamento da olx.
Mais de uma semana pedindo ajuda. Recebo resposta muitos dias após. E nunca resolvem meu problema. Dão respostas curtas que de nada servem.";Negativo
"Foi bom. Mas poderia ser um pouco mais rápido.
E também possibilitar uma maior comunicação entre os clientes e o atendimento.";Positivo
Atendimento merecedor de 5 estrelas.;Positivo
Recei um retorno que não solucionou meu problema e não me ajudou a buscar uma solução futura. Infelizmente tive uma experiência negativa neste atendimento.;Negativo
"Boa tarde 
Muito difícil o contato porque é IA , ficando cheio de alternativas e demorado.

Muito difícil encontrar com tantas opções e não chegar direto ao ponto.";Negativo
Mandei um e-mail e não fui atendido.;Negativo
"O problema era a falha no sistema, tanto via site quanto app, que não permitiu fazer a edição do anúncio (conforme notificação).
Foi respondido que o valor será devolvido (ok) e preciso fazer novo anúncio. Parcialmente resolvido.
Espero que a falha do sistema esteja sanada, pensando nos demais usuários.";Positivo
Não consigo acessar minha conta pois não tem a opção de mudar o número de telefone, e já entrei em contato e não resolveram!;Negativo
Igualmente;Neutro
Ainda o meu problema não foi resolvido e muita demora;Negativo
O sistema da OLX é horrível, só tem um chat para atendimento que os atendentes não podem ajudar em literalmente NADA. Eu nunca vi um sistema de pagamento que a conta está com o mesmo CPF do cartão usado pra comprar, está tudo certo mas vcs não aprovam meu cartão. Qual é o sentido disso?;Negativo
Uma boa porcaria;Negativo
Excelente trabalho;Positivo
Estão de parabéns. Tenho um erro que parece que é algo no código mesmo que precisa ser consertado. A pessoa que me ajudou fez de tudo que pôde, foi muito desenrolada e rápida. Mesmo com o problema sendo muito chato, faz toda diferença ter um atendimento tão qualificado.;Positivo
Obg;Neutro
Excelente;Positivo
péssimo;Negativo
Bom;Positivo
Você são uma posta !!!!! Não resolve nada como pode não trocarem um número do celular !!!!;Negativo
EU NAO FUI ATENDIDO!!!!;Negativo
Quero atualizar minha conta;Neutro
Minha conta esta inativa e não me explicaram o motivo,li as diretrizes do aplicativo e estava tudo nos conformes.Tentei resolver no suporte mas não adiantou e não sanaram meu problema;Negativo
Continuo com o problema, ainda não está desbloqueado.;Negativo
só isso mesmo;Neutro
atendimento ok;Positivo
São pessoas como você, Larissa Larissa,que fazem o serviço ser de excelência. Parabéns pelo comprometimento.;Positivo
não consigo acessar o aplicaritvo;Negativo
Colocaram uma transportadora que nem era daqui para recolher o objeto, e o cliente ficou esperando. E eu me prestei a embalar pra nada. Desisti da venda porque ninguém recolheu. E vendi no Facebook. E ainda não cobraram taxa.;Negativo
"Fui atendido pelo Erick.
Atendimento perfeito.";Positivo
"O atendimento e o resultado que OLX nos dá é muito bom.
Excelente";Positivo
Só resolver meu problema do SMS;Negativo
Me bloquearam injustamente sem me enviarem um comunicado específico, mudaram as regras da olx;Negativo
Gostei do atendimento, mesmo não concordando com a justificativa do meu bloqueio, parece até que cometi algo grave. Enfim, obrigado.;Positivo
Não resolveu o problema.;Negativo
Não dei golpe é ninguém é bloqueou minha conta.;Negativo
Muito prestativo, atencioso. Solucionou o problema.;Positivo
Não resolveram meu problema.;Negativo
Não tenho mais acesso ao número de cadastro e mesmo assim é impossível entrar na conta apenas com o email e código;Negativo
PEDI PRA REMOVER O NÚMERO DE TELEFONE QUE NÃO EXISTE MAIS PRA MIM PODER ACESSAR A MINHA CONTA E NAO FOI RESOLVIDO;Negativo
"Só repetiram o e-mail anterior. Preciso saber o prazo que minha conta ficará bloqueada. E o retorno da ativação o quanto antes. 
Desde já agradeço imensamente.";Negativo
Mi ajuda a desbloquear minha conta preciso muito dela pra vender e compra comida;Negativo
Não resolveu nada, apenas me informou que eu perdi a minha conta. E nunca mais poderei acessar a olx pois meu cadastro está preso em uma conta que não tenho acesso.;Negativo
Até o momento não consegui resolver o problema. Preciso de liberação do CPF para fazer novo cadastro, já que não é mais possível acessar a conta atual devido troca de celular (não consigo obter os códigos enviados por SMS);Negativo
Excelente;Positivo
Faço parte da olx a muito tempo e quando preciso não dão a mínima;Negativo
Não há atendimento... péssimo.. as instrucões não são claras e não consegui resolver o problema ... desisti..;Negativo
Muito ruim, eu pedi ajuda pra mudar número do telefone cadastrado e não foi possível. Hoje não consigo mais acessar minha conta porque vocês não querem trocar o número. Isso é um absurdo;Negativo
Gostaria de agradecer a agilidade e atenção no atendimento, meu problema foi solucionado em instantes, estou extremamente satisfeito;Positivo
Como desenvolvedor fiquei abismado em saber que não consigo remover o celular cadastrado em minha conta ou trocar pelo número que estou utilizando agora, em anos como Engenheiro de software jamais vi isso do usuário perder a conta por não poder alterar o celular nem via suporte pelo banco de dados, simplesmente RIDÍCULO e VERGONHOSO!;Negativo
"Péssima! Horrível!...
Quero acessar minha conta e não consigo porque o aplicativo está pedindo para enviar código para meu número antigo e eu não tenho aquele número mais!... o qual seja este 31998355488.
Hoje tenho o número 31972102828 e, email é cristovaonotorious@gmail.com se eu tenho acesso e senha do e-mail não sei para que confirmar com número de telefone! 
O burocracia infernal este, liberem o meu acesso!";Negativo
Não resolveu meu problema, não consigo entrar na minha conta pq está registrado um telefone antigo que já tentei mudar no aplicativo outras vezes e não salva o número novo, e mesmo entrando pelo e-mail pede o código por SMS q entra no número antigo, e não consigo fazer outra conta pq o CPF costa nessa conta, preciso uma solução, obrigado;Negativo
Não consigo anunciar porque troquei de número.;Negativo
Não consigo acessar por que não tenho mais o antigo número de contato e eu não consigo mudar, já tentei por várias vezes entrar na minha conta e não consigo. Já até desinstalei o aplicativo do celular por não conseguir o acesso. Tô procurando outros meios pra poder procurar produtos;Negativo
Foi massa o atendimento;Positivo
Não, consigo acessar minha;Negativo
"Não resolveu meu problema, não tenho acesso ao Número de Celular cadastrado e por isso perdi acesso a minha conta, não tem lógica nenhuma pois tenho acesso ao e-mail, porém agora tenho que criar um e-mail novo para poder criar uma conta nova, pois não é possível criar uma outra conta com o mesmo e-mail. 
Qual a dificuldade da própria OLX, entrar no meu acesso remover o número de telefone? E assim que eu acessar minha conta eu cadastro o número novo.";Negativo
Excelente;Positivo
Espero solucionar o meu problema.;Neutro
Estou tendo problemas com meus anúncios . E agora minha conta está bloqueada sem eu saber o motivo;Negativo
Foi muito eficaz espero que deu certo de resolver o problema mais o atendimento foi rápido e preciso e eficiente parabéns;Positivo
Não me ajudou em nada!;Negativo
Atendimento lento, falta de responsabilização por parte da plataforma.;Negativo
PRECISO DE UM MEIO DE CONTATO DA OLX. TEFEFONE, EMAIL OU WHATSAPP. PRECISO ESPLICAR OQUE ESTA ACONTECNDO COM MINHA CONTA.;Neutro
Ótimo atendimento, rápido e salvou de um golpe ! Gratidão;Positivo
Primeiro site que pesquiso;Neutro
Excelente;Positivo
Não resolveu meu problema apenas me passou um link para dúvidas.;Negativo
Tudo ok;Positivo
"Não me ajudou em nada.
Simplesmente disseram que não havia como resolver meu problema. Sem dar nenhuma explicação.
Agora terei de abrir nova conta... ninguém quer negociar com contas novas.
Pois não passa nenhuma confiança.
Mas, fazer oque. 
Vida que segue....";Negativo
NEM TIVE SOLUÇÃO PARA O MEU PROBLEMA;Negativo
Gabriel me atendeu super bem.;Positivo
Conseguiu sanar minhas duvidas, com rapidez.;Positivo
Fiz uma venda e por não conseguir entrar na minha conta pois o Cel cadastrado não tenho mais acesso e não estou conseguindo sacar o dinheiro, portando a OLX está em débito comigo, exijo uma solução! Tenho meu banco cadastrado na carteira OLX, deveriam depositar direto.;Negativo
Agilidade e eficiência;Positivo
Muito obrigado pela ajuda!;Positivo
eu dei um feedback pensando no bem da plataforma e mandam uma resposta automática falando que a conta que relatei foi bloqueada sendo que não falei sobre conta alguma nem nada kkkkkk;Neutro
Não recebi atendimento nenhum;Neutro
Excelente;Positivo
Sem comentarios, apenas agradecimento por me ajudarem imensamente;Neutro
Parabéns pelo trabalho!;Positivo
Não resolveu meu problema simples de cadastrar um novo número de telefone já que não tenho mais acesso ao antigo e ainda me informaram que então já que não tenho mais acesso ao antigo telefone tenho que deixari a conta na olx,ou seja preferiram perder uma cliente de anos ao invés de resolver um simples problema.;Negativo
Nao obtive resposta ao meu atendimento.;Neutro
Bloquearam minha conta do nada eu preciso de fazer um anúncio e ninguém me solucionou problema até agora;Negativo
Muito obrigada pelo grande apoio! O atendente Loan é muito prestativo! Gratidão!!;Positivo
Ótimo atendimento. Tenho certeza que o caso está em boas mãos. OLX continuará sendo minha plataforma predileta para compras.;Positivo
aguardo o estorno;Neutro
Demorou um pouco, porém estou satisfeito e meu problema foi resolvido.;Positivo
Excelente;Positivo
Eu gostaria de voltar a anunciar na Olx mas agora estou com receio;Negativo
ninguem consegue me responder sobre o meu caso e enviar uma sluçao..quero usar a OLX;Negativo
aonde escrevo?;Neutro
Resolvido o problema rapidamente, bem agilizado o procedimento.;Positivo
Bom;Positivo
Atendente muito atenciosa, resolveu meu problema em minutos!;Positivo
A atendente resolveu o problema. Grato.;Positivo
Péssimo não resolveu o meu problema nem me deu alguma previsão ou uma posição precisa;Negativo
Excelente atendente, simpática e ágil;Positivo
Anna muito atenciosa, gentil;Positivo
Não fui atendida;Neutro
Excelente;Positivo
O atendimento do excelente dessa vez.;Positivo
Paguei destaque Diamante e NENHUM contato até agora, além do produto estar aparecendo BEM EMBAIXO na lista.;Neutro
Excelente;Positivo
Não, obrigado;Neutro
Excelente;Positivo
Suas respostas foram de muita importância e explicativa.;Positivo
Excelente;Positivo
Acho um pouco complicado, mais gostei do atendimento;Positivo
O Erick foi muito atencioso e resolveu o problema, agradecido!;Positivo
atendimento transparente quanto ao tempo de espera e muito eficaz!;Positivo
Me escreveu uma pessoa que disse prosseguir meu atendimento e não foi capaz de ver a mensagem que mandei, não vou enviar a mesma mensagem duas vezes, realmente cansei e o atendimento de vocês e péssimo!;Negativo
não...tudo certo;Positivo
Já fiz 3 solicitações diferentes, sobre o mesmo problema e não resolveram, apenas encaminham uma mensagem pronta. Irei abrir uma reclamação no reclame aqui.;Negativo
Não, só agradecer;Positivo
Nao fui atendida ate hoje. e Nao pude fazer meu anuncio pois sem querer fiz click errada para olx Pay que nao tenho nenhum interesse em OLX Pay. Nao recebi retorno da OLX.Nao posso ágar anuncio e perder pedindo cancelamento da OLX PAY.;Negativo
Horrível;Negativo
Muito bom;Positivo
Péssimo sempre foi.pessimo quando precisei;Negativo
Não resolveram nada, ainda estou sem acesso, nem sei pq;Negativo
Foi uma mensagem muito formal onde parece que meu comentário sobre a mudança da página foi irrelevante.;Negativo
Tem gente vende coisa roubada e vocês não fazem nada;Neutro
Me bloquearam sem motivo... E ninguém resolve meu problema... Não consigo contato com ninguém;Negativo
"Uma resposta vazia e sem solução para resolver um problema simples 

Grande decepção. Esperava muito mais da Olx";Negativo
Eu mudei de telefone e por isso não consigo acessar minha conta e eu não consegui falar com vocês pra me ajudar isso. Vocês não se importam com os usuários!;Negativo
Resolveram meu problema, consegui o meu acesso;Positivo
Deveria ter um chat direto, mesmo que demore um pouco para ter as respostas;Neutro
Não consegui resolver minha questão do acesso, eu não tenho outro número de celular com isso dificultou a minha vida. Agora estou sem acesso a Olx;Negativo
Péssimo, encerrou o protocolo sem dar nenhuma satisfação ao meu questionamento.;Negativo
Problema na platafarma me fez ter prejuizo ma venda e e canal de comunicação è pessimo , sem suporte imediato!!!! Nao vendo mais nada por essa olx absurdo essa falta e demora na comunicação!!!;Negativo
Tentei diversas vezes resolver meu problema e não tive êxito, solicite o caminho para realizar a troca do numero de telefone, pois não utilizo mais o cadastrado, eu não estava conseguindo realizar o login, ja que após email e senha automaticamente já ia para a tela de confirmação de número.;Negativo
Não foi resolvido nada até o.momento;Neutro
"Atendimento ruim pois não recebi nenhum atendimento de pessoas apenas mensagem programada e o problema persistiu por 3 vezes seguida até que desisti de anunciar por essa plataforma. Infelizmente vocês não são claros em dizer aonde está o erro que ao meu ver não tem motivo para bloquear toda hora. E cada vez q vcs bloqueiam o anúncio tem q ser refeito, ou seja, perdi todos contatos de clientes q estavam interessados em ver o imóvel. Estou muito triste com o transtorno gerado.
Att.,
Emerson";Negativo
Atendimento incompetente, inútil e horrível... mais um print pra anexar no processo jurídico contra vocês;Negativo
Muito difícil falar com a Olx, estou tentando a três dias. Pra falar sobre cancelamento de uma compra e obter Informação e não consigo;Negativo
A Olx poderia facilitar o atendimento , foi difícil achar. A atendente foi muito solicita e rápida.;Positivo
Bruno muito gentil e atencioso;Positivo
Eu não fui atendido;Neutro
falar com atendente;Neutro
a OLX precisa melhrorar sua relação com o usuário no que tange a comunicação;Neutro
Excelente;Positivo
Excelente;Positivo
Quero auxílio;Neutro
o estorno e devolução do meu dinheiro poderia ser imediato !;Neutro
Bom;Positivo
Sem retorno, atendimento pífio;Negativo
Ate o presente minha solicitação de falta de acesso a OLX não foi solucionada.;Neutro
Ainda não tive meu problema resolvido.;Neutro
Gostei do atendimento;Positivo
Estou extremamente insatisfeita pois perdi minha conta da OLX e não consigo criar uma nova pois o CPF já foi cadastrado.;Negativo
Valor;Neutro
"Minha nota para a OLX em relação à tudo é 9,5
Não dou dez porque deste jeito o sucesso sobe na cabeça porque acham que não deve melhorar.";Positivo
Viviane foi rápida e objetiva no atendimento. Nota 1000 pra ela!;Positivo
Ruim;Negativo
"As pessoas que estão me atendendo, me parecem despreparadas,minha conta está bloqueada, eu pedi uma resposta de porquê a conta está bloqueada e a resposta foi de que eu havia anunciado um forno Venâncio a gás, e que o mesmo item está nos itens proibidos, acontece que se qualquer pessoa entrar o app Olx e pesquisar forno a gás, tem inúmeras opções de pessoas vendendo este item.
Portanto se for essa a razão da minha conta estar bloqueada, eu peço o bom senso da Olx , em reabilitar a minha conta. Pois preciso muito dela.
Grato: Wilson ventura";Neutro
Foi rápido o atendimento. Porém, sobre a justificativa de que violei as regras do anúncio, não concordo ,pois vcs tem milhares de anúncios iguais e eles estão ativos .;Positivo
Demorou um pouco o atendimento devido a lista de espera, mas fui bem atendido;Positivo
Obrigada;Neutro
Espero atendimento logo e com pessoas que possam me ajudar e nada de computador por favor;Neutro
Não consegui resolver meu problema quero troca meu número de celular. .;Neutro
Acredito que quando acontece erros como o meu poderia haver uma exceção para trocar o número novamente;Neutro
O atendente me atendeu com precisão, não teve enrolações e meu problema foi resolvido rapidamente.;Positivo
Não consigo acessar números de telefone e anunciar nada já atualizei troquei senha e não tenho acesso;Negativo
O Atendimento da Larissa Nota 10. Eu paguei o Histórico Veicular, e depois de pago Quitei o veículo. Descobri que não irá atualizar, e terei que pagar de novo se eu quiser ter a informação atualizada no Anúncio. Encantar o Cliente e fidelizar é mais importante que ganhos de curto prazo.;Positivo
Preciso de novo atendimento;Neutro
otimo atendeimento;Positivo
Bloquearam minha conta. Fiz diversos anúncios pagos, expliquei que se trata de venda de imóveis no mesmo condomínio, não tem como ser anúncio diferente, logo não são duplicados.;Neutro
Vocês estão bloqueando um anúncio, não devolvem o dinheiro e não me explicam o pq desses bloqueios com esse anúncio;Negativo
Péssimo;Negativo
Sim, achei o atendimento um pouco demorado. Apenas por isso dei a nota Bom. Se colocassem mais atendentes talvez facilitasse para quem está aqui do outro lado.;Positivo
Se eu fosse colocar um comentário seria..pra vc ficarem mais atentos ao golpistas q passam pela plataforma de vocês ...e estão a roubar as pessoas pois no último sábado perdi mais de 4 mil reais por gente q passavam por compradores na Olx ...me mandem um pix ao menos a metade do meu prejuizo;Neutro
"... penso que deveria haver uma opção para quem trocou de contato... seria bem mais facilitado e obvio sem perca de tempo e stresse .. e não como é feito ...vcs mandam um código para o contato antigo, sendo que o usuário nem tem mais o numero... e fica impossibilitado de acessar a conta.

*Sugestão.*
quem administra essa plataforma deveria criar uma opção .. o usuário entra com seu email e senha e trocaria o numero, simples e fácil e continuaria utilizado a plataforma da OLX sem problemas.";Neutro
Excelente;Positivo
estou muito decepcionado com a forma com que vcs atuam vendi o telefone foi entregue tranquilamente o rapaz ate agradeceu e gostou do aparelho tudo lindo ate ai e so ate ai mesmo! o celular era do meu uso vendi para poder comprar outro ate hj não recebi nada não liberação meu dinheiro, ate o momento eu paguei taixa paguei uma vez não contabilizou ok fiz novamente em horário comercial e ate agora nada de resposta se tivesse vendido por fora teria sido melhor tratar direto com o rapaz mais enfim espero que se resolva da melhor forma possível pois não vou ser lesado e ficar tranquilo vou em busca de um advogado, ainda estou esperando a liberação do meu dinheiro ok ?!;Negativo
Atendimento do Gabriel foi feito com excelencia! Voto em ele virar gerente!;Positivo
Estou tentado resolver um problema com trava de telefone que não é meu e não recebo nenhuma informação de como alterar o número existente que não é meu .;Neutro
Não somente obrigado pela sua atenção;Positivo
SERVIÇO PÉSSIMO;Negativo
"O antendimento não resolveu meu problema, e ainda sugeriram pra criar outra conta e deixar de usar meu email e criar outro.
Isso por que não tenho mais meu telefone antigo";Neutro
Pessimo atendimento é política ao cliente minha conta está bloqueada a mais de 5 meses e ainda não tive um resposta sobre o assunto;Negativo
Informar valores de renovação;Neutro
Ótimo atendimento e agilidade;Positivo
"Sempre quando vou vender algum produto diversos 
Sempre dou preferência a OLX 
Como também quando vou colocar a venda um produto Sempre dou preferência a OLX. é excelente.";Positivo
Era só isso mesmo. Obrigado!;Positivo
"O app não funciona como o atendente disse. Já tentei por todas as formas e não consigo anunciar. Queria reclamar no ""Reclame aqui"".";Negativo
a solicitação foi atendida.;Neutro
Nunca teve atendimento nunca fez mais de uma semana que estava aguardando eles da Olx resolver o meu problema e até hoje que nunca resolveram péssimo atendimento nunca vi pior;Negativo
Não resolvido;Neutro
Minha conta estava bloqueada, pedi o desbloqueio e quando consegui resolver pra minha surpresa minha conta que era antiga passou a ser nova, aberta em 2024. Gostaria que tivesse sido mantida a anterior.;Neutro
Não publicaram me anúncio alegando violar regras da OLX, entretanto existem vários anúncios cilindros de gás, como o meu.;Neutro
Estou tentando alterar o e-mail do cadastro e não consigo , é muita burocracia e dificuldade. Se eu acesso a conta e tenho acesso aos dados porque não consigo alterar? Ou porque os atendentes não fazem , conforme solicitado.;Neutro
Todos os cupons de desconto que me encaminharam estavam vencidos, foi um atendimento totalmente ineficiente e assim fiz contato com o vendedor e comprei diretamente com ele sem usar o sistema OLX. E nunca mais solto a comprar pela OLX.;Negativo
Bom dia, não consigo recuperar meu email.;Neutro
Não consegui entrar mais não aceita meu cel;Neutro
"O atendimento é lentíssimo, cada interação tem espera de dias para acontecer, a resposta, muitas vezes é protocolar e desconectada do ponto onde a conversa parou, retomando o assinto do começo.

A solução oferecida é simplista, ignorando o recurso que a plataforma tanto preza: a reputação do cliente.

Explicação da plataforma: segurança. É necessário enviar um email com um código de verificação, mas a conta email oculto ID Apple não aceita esse tipo de comunicação e, portanto, eu não consigo verificar minha conta. 

OU SJA:

É criada uma solução de segurança que não inclui outras soluções de segurança, como a possibilidade de utilização de login usando o ID Apple.

Final da história/solução do problema: eu fico com 100% do prejuízo e abro uma nova conta, sem nenhum histórico (e sem nenhuma dor ou inconveniente para a plataforma). 

Só falta quererem ser bem avaliados.

Obrigada por absolutamente nada.";Negativo
"Não resolvi meu problema, preciso apenas trocar o número de telefone celular para poder acessar a minha conta. A sugestão feita pela equipe da OLX, foi de criar uma nova conta.
Estou totalmente insatisfeito com isso.";Negativo
Meu problema não foi solucionado!.;Negativo
Eu só quero saber quando é que a minha conta no Olx estará disponível para mim. Quero saber dos meus anúncios. Não tem como ver minhas mensagens.;Neutro
demorou mais resolveu;Positivo
"Gostei do retorno , mas ainda chatiadissema com o que me aconteceu .
Mas agradeço o respaldo";Positivo
Não resolveu em nada o meu problema, simplesmente não estão nem aí!! Você não tem mais acesso ao número antigo? Problema seu, perdeu a conta!! Atendimento deplorável.;Negativo
Pessoal, nem sei o porquê acabo perdendo meu tempo, em escrever o tipo de comentário que fiz. Digo isto, pois, certamente o retorno destes questionamentos fica a serviço de pessoas em âmbito operacional, os quais não decidem nada, não possuem alçada em modificar alguma coisa, e em muitos casos (na maioria deles), nem mesmo são levados a gerência/coordenação/direção.;Negativo
Devagarinho a Olx si acaba motivo? Golpes em cima d golpes, fora q a plataforma não tem profissionais adequado,, bloquea conta sem motivo toda hora tem q entrar em contato ,,, péssima plataforma aos poucos si acaba;Negativo
Não resolveram meu problema;Negativo
"Não consegui mudar meu número de celular para obter nova senha para entrar no site da OLX.
Queria entrar para denunciar um golpe que caímos ( eu e meu marido) na venda de um celular. Perdemos quase 4 mil reais. O número do celular que passou o golpe é +55 21 98848-6987. 
Enviaram e-mail falso com a logo da OLX e acreditamos.";Negativo
Totalmente inutil. Estou 3 dias tentando acessar minha conta. Ja enviei e respondi 3 e mails ai vem....para acessar rapido. Clica e vai para pagina do site...se vc não tem acesso ao telefone...vai enviar um SMS para o telefone...bla...bla. Totalmente inútil ainda se fc em Site de banco. Bom é o Mercado Livre que usa WhatsApp...a propósito vcs já ouviram falar desse APP...ele é otimo até a Elektro usa ele.....fala serio....ah ja eliminei a OLX de meu celular e do meu PC...INÚTIL.;Negativo
Provavelmente nem leu a minha reclamação. Ou não entende português.;Negativo
Bloquearam minha conta???? Eu so tentei , mas não foi anunciado! um botijão de gás que tenho sobrando em casa! se não foi anunciado então por que bloquearam minha conta????? Eu so fiz a tentativa por que ja tinha um anuncio de venda de gas na plataforma do OLX! se tinha uma por que eu não iria tentar vender o meu???????;Neutro
Péssimo demorou muito para responder.;Negativo
estou tentando entrar na mi8nha co9nta tem uns 15 dias porque nao lembro a senha tento fazer nova senha falm que as regras vao chegar no emu email e nunca chega;Neutro
Não consegui acessar o aplicativo, coloquei o email,a senha, recebi o código de verificação pelo email , quando chega pra receber o código pelo celular não dá certo, porque não tenho mais o número do celular que aparece, nunca dá pra concluir pra entrar no app;Negativo
Vocês não conseguiram resolver meu problema;Negativo
Proativo! Gostei do atendimento, apesar que estou infelizmente bloqueada temporariamente há anos!;Positivo
